㐀	丘
厣	厴
厤	历 曆
厥	〈 〉 下 可 氏 氒 𣅞 𨈐 𨈑
厦	廈
厨	㕑 廚 𢊍
厩	廄 廏 廐
厪	廑
厭	厌
厮	㒋 廝
厰	廠
厱	𰆚
厲	历 厉 禲
厳	嚴
厴	厣
厵	源
厶	某 私
厷	肱
厸	鄰
厹	叴
县	縣
叁	三 參 叄
参	參 蔘
參	参 叅 朁 薓 參 𠫰
叄	叁 參
叅	參
叆	靉
叇	靆
叉	釵
及	𢎜 𨕤
友	㕛 𠬺 𦐮 𦐯 𦫹
双	雙
反	𠬡
収	收
发	發 髮
叓	事
叔	尗 𠁮 𠦑 𡭫 𢆑
受	𠭧
变	變
叙	敍 敘
叜	傁 叟 溞
叝	告
叟	傁 叜 墰
叠	曡 疊
叡	䜭 壡 睿
叢	丛 樷 藂
口	𠙵 𠮚
古	𠖠 𡇣
句	句
叨	饕
只	子 戠 止 祇 衹 隻
叫	呌
可	厥 歌
台	嗣 檯 臺 颱
叱	𠮟
史	㕜
叴	厹
叵	尀
叶	葉
号	號
司	𤔲
叹	嘆 歎
叽	嘰
吁	籲 𠮲
吃	喫
吅	訟
合	閤
吊	弔
吋	寸
同	仝 衕
后	後
吏	吏
向	嚮 曏
吒	咤
吓	嚇
吕	呂
吗	嗎
吚	咿
君	𠱩 𠱭
吝	㖁 恡 悋 吝 𠯌 𠲲 𠴽
吞	呑
吟	㕂 唫
吣	唚
否	𠘶
吨	啍 噸
含	唅
听	哂 聽
启	啓 啟
吲	哂
吳	吴 呉 虞 𡗾 𡗿
吴	吳 呉
吶	呐 訥
吸	噏
吹	龡
吻	㖧 呡 肳 𠞍
吾	𠮣
吿	告
呂	吕 呂
呃	阨
呆	獃 騃
呈	㞷
呉	吳 吴
告	吿
呌	叫
呐	吶
呑	吞
呒	嘸
呓	囈
呕	嘔
呖	嚦
呗	唄
员	員
呙	咼
呛	嗆
呜	嗚
呠	噴 歕
呡	吻
周	賙 週 𠄗 𠱬
呩	嗜
呪	咒 詋
呱	哌
呴	詬
呵	訶
呼	戲 謼 𠰗
咀	嘴 觜
咂	𠯗
咊	和 龢
和	咊 惒 龢
咏	詠
咒	呪
咙	嚨
咛	嚀
咝	噝
咠	舙
咤	吒
咥	嘻
咨	嗞 諮 谘
咩	哶
咬	齩
咮	胄
咯	詻
咱	偺 喒
咲	笑
咳	孩 欬
咷	啕
咸	鹹
咼	剮 呙
咽	嚥 咽 𠽥
咿	吚
哂	听 吲 𧧍
哄	閧 鬨
哉	才
哌	呱
响	響
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	嘩 譁
哙	噲
哜	嚌
哝	噥
哟	喲
員	云 员
哣	㰯
哥	歌
哦	誐
哯	𠯟
哲	喆 嚞 悊
哴	喨
哶	咩
哼	苛
哾	㱃 𠱕
唁	喭 囐
唄	呗
唅	含
唇	脣
唉	欸 誒
唊	硤 𰇕
唐	啺 𡃯 𣉺
唓	𪠳
唖	啞
唚	吣
唛	嘜
唝	嗊
唠	嘮
唡	啢
唢	嗩
唤	喚
唧	喞
唫	吟
唬	猇 虓 諕
唱	𪛋
唷	唹
唸	念
唻	𫪁
唾	涶
啃	齦
商	𠹧 𠾃 𠿧 𡂦 𡃬 𡄚 𡅟 𧶜
啊	阿
啍	吨
啎	忤
問	问 𠳅
啓	启 啟
啔	啓
啕	咷
啖	㗖 啗 噉
啗	㗖 啖 噉
啚	𠴿
啜	欼 歠 諁
啞	哑 唖 瘂
啟	启 啓
啢	唡
啣	㘅
啧	嘖
啨	情
啬	嗇
啭	囀
啮	嚙 齧
啯	嘓
啰	囉
啴	嘽
啸	嘯
啺	唐
啼	嗁 謕
喂	餧 餵
喃	嫐 諵
善	譱 𠾄 𦎍 𧮟
喆	哲
喇	喇
喋	𠴬 𠿚
喎	㖞
喏	諾
喐	郁
喒	偺 咱 昝
喚	唤
喜	憘 憙 歖 𢐭
喞	唧
喟	𠷝
喡	𮰔
喧	吅 諠
喨	哴
喩	喻
喪	丧 𡂤 𡂧 𡚏 𡴧 𦦦
喫	吃 噄
喬	乔
喭	唁 𧧑
單	单 単
喰	餐
喲	哟
営	營
喷	噴
喻	喩
喽	嘍
喾	嚳
喿	噪
嗀	嗀
嗁	啼
嗂	𠿌
嗄	𠷚
嗅	齅
嗆	呛
嗇	啬 𠻮 𤲝 𤲷 𤳋
嗉	膆
嗊	唝
嗎	吗 罵
嗒	㗳
嗚	呜
嗜	呩 𩝙
嗞	咨 諮
嗟	差 𨲠
嗣	台 孠
嗤	𣣷
嗥	嘷 嚎
嗧	𰇠
嗩	唢
嗫	囁
嗬	呵
嗰	𠮶
嗳	噯
嗶	哔
嗹	𪡏
嗻	處
嗽	瘶
嗾	𠻣
嗿	𰇲
嘄	𫪧
嘆	叹 歎 𡂥
嘇	𰇼
嘈	䜊
嘍	喽 謱
嘎	尜
嘑	呼
嘓	啯
嘔	呕 慪
嘖	啧
嘗	尝 甞 𠹉 𨡔
嘘	噓
嘜	唛
嘤	嚶
嘨	嘯
嘩	哗 譁
嘪	𪡃
嘮	唠
嘯	啸 嘨 歗
嘰	叽
嘱	囑
嘳	𪡞
嘴	咀 觜
嘵	哓
嘷	嗥
嘸	呒
嘺	𪡀
嘻	咥
嘼	畜
嘽	啴
嘿	默
噁	恶 𫫇
噂	譐
噄	喫
噅	噕 𠯠
噉	㗖 啖 啗
噏	吸
噐	器
噑	嚎
噓	嘘
噕	噅
噚	㖊
噛	嚙
噜	嚕
噝	咝
噞	𪡋
噠	哒
噥	哝
噦	哕 𧬨
器	噐 𡄛
噪	喿 譟
噫	𢤏
噯	嗳
噲	哙
噴	呠 喷 歕
噸	吨
噹	当 𪠽
嚀	咛
嚂	𰈓
嚇	吓
嚈	𫩫
嚌	哜 𠴧
嚍	𫩺
嚎	嗥 噑
嚏	嚔
嚐	尝 𰈇
嚔	嚏
嚕	噜
嚙	啮 齧
嚚	𠽺 𠿦 𡅚 𡓶
嚛	𪠸
嚝	𫩕
嚞	哲
嚠	瀏 𭇯
嚢	囊
嚣	囂
嚥	咽 咽
嚦	呖
嚧	𠰷
嚨	咙
嚩	𰈶
嚪	𫫦
嚫	𰈍
嚬	顰 𫫾
嚮	向 𡩉 𡪥
嚱	𰇣
嚲	亸
嚳	俈 喾
嚴	严 厳 𡅾
嚵	饞 𡁅 𡅛
嚶	嘤
嚸	𰈊
嚹	𡅈
嚻	囂
嚽	𪢕
嚿	𫩥
囀	啭
囁	嗫 讘
囂	嚣 𠽸
囃	𠱞
囅	冁
囇	𫪃
囈	呓 讛
囉	啰
囊	嚢 𢑿
囋	𡂐 𰉄
囌	苏 蘇
囏	艱
囐	唁 𰈯
囑	嘱
囒	𪢠
囓	嚙 齧
囕	𰈆
囗	國 圍
囘	回 囬
囙	因
四	肆 𦉭
回	囘 囬 廻 迴
囟	䪿 倖 幸 顖 𠙷 𦞤
因	囙 𤇀
团	團 糰
団	團
囤	𥫱
囦	淵
囪	囱 窓
囬	囘 回
园	刓 園
囮	諤 𡈙
囯	國
困	睏 𣏔
囱	囪
囲	圍
図	圖
围	圍
囵	圇
囶	國
囹	囹
固	怘
国	國
图	圖
圀	國
圃	圑
圅	函 凾
圆	圓
圇	囵
圈	圏
國	䆐 囗 囯 囶 国 圀 𢧌
圍	囗 囲 围
圎	圓
圏	圈
圑	圃
園	园
圓	圆 圎
圕	圖
圖	図 图 圕 圗 𡇴 𡈖
圗	圖
團	团 団
圝	圞
圞	圝 𪢮
圢	䵺 町
圣	聖
圧	壓
圩	墟
圫	墺
圬	杇
圭	珪
地	埅 埊 嶳 𠏂 𨻐
圱	俗
圹	壙
场	場
圻	垠
址	阯
坂	阪
坃	壎
坆	墳
均	韻
坋	坌
坌	坋
坎	埳
坏	坯 壞
坐	㘸 座
坑	阬
坓	型
坕	經
坖	忌
块	塊
坚	堅
坛	壇 罈 罎
坜	壢
坝	垻 壩
坞	塢
坟	墳
坠	墜
坣	堂
坤	堃 巛 𠔜
坫	店
坭	泥
坯	坏 壞
坰	冂 冋
坵	丘
垂	埀 𠂹 𠄒 𠣔 𡍮
垄	壟
垅	壠
垆	壚
型	坓
垐	堲
垒	壘
垓	陔
垔	堙 陻
垕	厚
垛	垜
垜	垛
垠	㙬 圻 𡊷 𡏴
垣	𩫧
垦	墾
垩	堊 聖
垫	墊
垭	埡
垯	墶
垱	壋
垲	塏
垴	堖
垵	埯
垷	𰉚
垻	坝 壩
埀	垂
埅	地
埇	甬
埉	𰉥
埊	地
埒	埓
埘	塒
埙	塤 壎
埚	堝
埜	野
域	㽣 䧕 譽 𢨊
埡	垭
埨	𫭢
埬	𪣆
埭	𡐡
埯	垵
埰	采
埳	坎
埶	秇 蓺 藝
執	执 𠌷
基	抍 拯 𡉝
埼	㟢 崎 嵜 碕 陭 﨑 𥔎
埽	掃
堂	㙶 坣
堃	坤
堅	坚
堆	𠂤
堇	菫
堈	缸 罁 𰉙
堊	垩 聖
堑	塹
堕	墮
堖	垴
堘	塍
堙	垔 陻
堚	𪣒
堝	埚
堤	隄
堦	階
堭	隍
堯	尧 𡋰
報	报
堲	垐
場	场 塲
堵	鍺
堺	界
堿	鹻 鹼
塁	壘
塆	壪
塈	墍
塊	凷 块
塋	茔
塌	𡓲
塍	堘 𣎒
塏	垲
塐	塑
塑	塐
塒	埘
塔	㙮 墖
塗	凃 涂
塚	中 冢 塚
塜	塳
塞	塞 𡺶
塟	葬
塡	填 窴 𥧑
塢	坞 鄔 隖 隝
塤	埙 壎
塩	鹽
填	塡
塲	場
塳	塜
塵	尘 𡐪 𦧄
塸	𫭟
塹	堑 壍
塼	磚 𫭞
塾	孰
塿	𪣻
墆	𰊂
墈	磡
墉	𩫃 𩫱
墊	垫
墋	𫮅
墍	塈 𡉙 𡍳
墏	𰊈
墖	塔
増	增
墙	墻 牆
墜	坠
墝	磽 𫭪
墟	圩
墠	𫮃
墢	𫭨
墣	㙸
墤	隤
墧	𰉩
墫	壿 樽 罇
墮	堕
墰	傁 叟 坛 壜 罈
墲	𪢸
墳	坆 坟 𡏶
墶	垯
墷	𰉪
墺	圫 𡋮 𡋸 𡌱
墻	墙 廧 牆
墾	垦
墿	𰉣
壇	坛
壈	𡒄
壊	壞
壋	垱
壌	壤
壍	塹 𰊢
壎	坃 埙 塤 壦
壏	𰊑
壐	璽 𡊑
壒	𭏦
壓	压 圧
壔	𭎜
壗	𡋤
壘	垒 壘
壙	圹
壚	垆
壛	𰊡
壜	坛 墰 罈
壝	𭏸
壞	坏 壊 𡎯
壟	垄 壟
壠	垅
壡	叡
壢	坜
壣	𪤚
壤	壌 𦦶
壦	壎
壧	𫭲
壩	坝 垻
壪	塆
壮	壯
壯	壮 𡉟
声	聲
壱	壹
売	賣
壳	㱿 殻 殼
壶	壺
壷	壺 𠻭
壸	壼
壹	一 夁 弌 搋 𡔾 𡕋 𡕍
壺	壶 壷 𠁕
壻	婿 聟
壼	壸
壽	夀 寿 𠭵 𠷎 𦓂 𦓃
壿	墫
夀	壽 寿
夁	壹
夃	沽
处	處
夅	降
备	備
変	變
夊	攵 終 綏
夌	陵
复	復 複 覆
夏	昰 𠍺 𡔰 𡕾
夐	敻
夔	𣦞
外	舀 𡖄
夗	夘
夘	卯 夗
夙	宿 𠈇 𠉦 𣦽
多	夛 𡖇 𡖈
夛	多
夜	亱 𠙇 𠙑 𡖍
够	夠 彀
夠	够 彀
夢	夣 梦
夣	夢
夥	伙 𡖿
大	𠘲
天	兲 靝 𠀘 𠀡 𠕹 𦴞
夫	伕
夬	𡗒
夭	殀
夯	䂫
夳	泰
头	頭
夶	比
夷	𡰥
夸	誇
夹	夾
夺	奪
夾	夹
奁	奩
奂	奐
奇	竒
奈	柰
奉	𠬻 𢱵
奋	奮
奌	點
奎	㚝 奞
奏	𡙹 𡲯 𡴨 𢽥
奐	奂
契	契
奔	犇
奕	弈
奖	奬 獎
奘	弉
奞	㚝 奎
奥	奧
奧	奥 𡪿
奨	奬 獎
奩	匳 奁 檶
奪	夺 𡙸 𡜎
奫	𫯶
奬	奖 奨 獎
奭	𡚐
奮	奋
奯	𫯥
奲	𫰂
女	女 𠨰
奴	㚢
奶	妳 嬭
奸	姦
她	他 姐
奻	𡠛
奼	姹
好	𡚽 𡥆 𩐔
妆	妝
妇	婦
妈	媽
妊	姙
妍	姸
妒	妬
妘	𡤀
妙	玅
妝	妆 粧
妤	伃
妩	嫵
妪	嫗
妫	媯 嬀
妬	妒
妳	你 奶 嬭 您 祢 袮
妻	𡜈 𡜌
姆	佬 姥
姉	姊
姊	姉
始	乨 兘 𠃭 𠙉
姍	㛽 姗
姐	她 毑
姒	㚶
姓	𤯣 𤯧
姗	姍
姘	嬪
姙	妊
姜	薑
姢	娟
姣	㚣
姥	姆
姦	奸 𢙶
姪	侄
姫	姬
姬	㚦 姫
姶	㛕
姸	妍
姹	奼
姻	婣
威	𤰴 𤱫
娄	婁
娅	婭
娆	嬈
娇	嬌
娈	孌
娘	孃
娙	𫰛
娚	喃
娛	娯 娱
娟	姢
娠	㛛 暖 煖
娩	㝃
娬	嫵
娭	毐
娯	娛 娱
娱	娛 娯
娲	媧
娴	嫺 嫻
娼	倡
娿	婀
婀	娿
婁	娄 𡇔 𡜰 𡝤 𡝨
婙	婧
婡	𫝫
婣	姻
婦	妇 媍 𢽰
婧	婙
婬	淫
婭	娅
婳	嫿
婴	嬰
婵	嬋
婶	嬸
婸	𰋸
婾	媮
婿	壻 聟
媁	𫰍
媆	㜛 嫩 嫰
媈	𫝨
媍	婦
媐	𡟮
媚	𡡚
媜	𰌂
媟	𡤏
媧	娲
媪	媼
媭	嬃
媯	妫 嬀
媰	㛀
媲	𡠌
媼	媪
媽	妈
媿	愧 醜
嫈	𰌀
嫉	𡜱
嫋	嬝 袅
嫐	喃
嫒	嬡
嫔	嬪
嫕	嫛
嫗	妪
嫛	嫕
嫢	𫰹
嫥	𰋹
嫧	𰌇
嫩	媆 嫰 𡞾 𤯦
嫫	嬷
嫰	媆 嫩 𡞾
嫱	嬙
嫵	妩 娬 𡣆
嫺	娴 嫻
嫻	娴 嫺
嫿	婳
嬀	妫 媯
嬃	媭
嬅	𫰡
嬇	𫝬
嬈	娆
嬋	婵
嬌	娇 撟
嬐	𫰰
嬒	𫰢
嬙	嫱
嬝	裊 𮱒
嬟	𮰸
嬡	嫒
嬢	娘 孃
嬣	𪥰
嬤	嬷
嬦	𫝩
嬧	𮱁
嬪	姘 嫔 𡜷 𡝏 𡣑 𡤁 𡴓
嬭	奶 妳 𡇲 𡤘
嬮	𰋽
嬰	婴 孾
嬲	惱
嬷	嫫 嬤
嬸	婶
嬻	𪥿
嬾	懶 𰌙
孀	霜
孃	娘
孄	𫝮
孆	𫝭
孇	𪥫
孋	㛤
孌	娈 𡢛
孎	𡠟
孏	𮰾
子	㜽 只 𡐫 𢀈 𢀉 𣕓
孔	𡤿
孕	㚺 𣎜
字	𡥜 𥤪
存	𠩯
孙	孫
孚	孵 𤓽
孛	柏 栢
孠	嗣
季	𡥞 𡦠 𩐄 𩐖
学	學
孩	咳
孪	孿
孫	孙
孭	𧴯
孰	塾
孲	𰌦
孳	孶 𡥝
孵	孚
孶	孳
學	学 斈 𢻯
孺	𡦗
孻	𡥧
孼	孽
孽	孼
孾	嬰 𪧀
孿	孪
宁	寧 甯
宂	冗
它	佗 牠
宄	𠬚 𡧌 𡧫
宅	㡯 宅 𡧪
宇	穻
守	𡬮 𡬴
宊	家
完	寬 烟 煙
宍	肉
宐	宜
宔	主
官	𠕍
定	㱏
宛	惌
宜	冝 宐 𠣨 𡨆 𡪀
宝	寚 寳 寶
实	實
実	實
宠	寵
审	審
宣	𡩦
宦	䆠
宪	憲
宫	宮
宮	宫
宰	𠈾 𡨧 𡪤
宲	實
宴	讌
宵	𣆺
家	傢 宊 𠖔 𡧚 𡩅
宷	審
容	𠕺
宻	密
宼	寇
宽	寬
宾	賓
宿	㝛 夙
寀	采
寃	冤
寅	㝙 𡓵 𡩪 𢁐 𦦚
密	宻
寇	宼 𡨥
寈	靑
富	冨
寍	寧
寑	寢
寒	𡫮 𡫾
寓	庽 𡪾
寔	實
寕	寜 寧
寗	甯
寘	置
寚	宝 寳 寶
寛	寬
寜	寕 寧
寝	寢
察	詧
寠	窶 𪧘
寡	關
寢	寑 寝 𡨦 𡫒
實	实 実 宲 寔 𡾍
寧	宁 寍 𡨴
寨	砦
審	审 宷
寪	𰌷
寫	写 冩
寬	完 宽 寛
寮	寮
寯	㝦 𮱠
寳	宝 寚 寶
寴	親
寵	宠 𠖥
寶	宝 寚 寳 珤 𠋾
寷	𫲸
寸	吋 等
对	對
寻	尋
导	導
対	對
寿	壽 夀
尀	叵
封	𡉘 𡊽
専	專
尃	敷 旉
尅	剋
将	將 𤕭
將	将 畺 疆 𢪇 𤕭
專	专 耑 𠧡 𠧢 𡴁 𡵏
尉	㷉 熨
尋	寻 𡬻
對	对
導	导 𡭎
尒	尔 爾
尓	爾
尔	尒 爾
尗	叔
尘	塵
尚	尙
尛	麼
尜	嘎
尝	嘗 嚐
尠	鮮
尢	尣
尣	尢
尤	怣
尥	尦
尦	尥
尧	堯
尨	狵 龍
尩	㑌
尪	尫
尫	尪 𡯪
尭	堯
尰	腫
尲	尶 尷
尴	尷
尶	尲
尷	尲 尴
尸	屍
尹	𢃁 𢃂 𢃵 𢃹
尻	䯌
尽	儘 盡
尾	𡱓 𡱕 𡲵
尿	溺 尿
局	侷
层	層
屃	屓
居	㝒 㞐
屆	届 曁 艐
屈	𡕜 𡲗 𡲶
屉	屜
届	屆
屋	𦤿
屍	尸
屎	𦳊
屏	屛 摒
屓	屃
展	㠭
屛	屏 摒
屜	屉 𡲕
属	屬 𡱆
屡	屢
屢	屡 屢 𡜸
屣	蹝 躧
層	层
履	履 𡲟 𩕎
屦	屨
屨	屦
屩	蹺 𪨗
屬	属 𡱆
屭	屓
屮	草
屰	戟
屿	嶼
岀	出
岁	亗 歲 𡻕
岂	豈
岐	㟚 歧 𨙾
岖	嶇
岗	岡 崗
岘	峴
岙	嶴
岚	嵐
岛	島
岡	冈 崗 𠆼 𨹽
岨	砠
岩	嵒 巖
岫	峀
岭	岺 嶺
岳	嶽
岺	岭
岽	崠 崬
岿	巋
峀	岫
峃	嶨
峄	嶧
峒	洞
峙	崻
峡	峽
峣	嶢
峤	嶠
峥	崢
峦	巒
峨	峩
峩	峨
峭	陗
峯	峰
峰	峯
峴	岘
島	岛 嶋
峺	硬
峽	峡
崂	嶗
崃	崍
崄	嶮
崇	嵩
崈	崇
崋	華 𡼙
崍	崃
崎	㟢 埼 嵜 碕 陭 﨑 𥔎
崐	崑
崑	崐 昆
崒	崪
崔	磪
崕	崖
崖	厓
崗	岗 岡 𡶬
崘	崙
崙	仑 侖 崘 崙 𪨧
崟	嶔 𡷧
崠	岽 𰎏
崢	峥
崧	嵩
崩	𨹹
崪	崒
崬	岽
崭	嶄
崱	𰎖
崵	𫵵
崻	峙
嵆	嵇
嵍	𡺱
嵐	岚 嵐
嵒	岩
嵕	𡽀
嵗	岁 歲
嵘	嶸
嵚	嶔
嵜	㟢 埼 崎 碕 陭 﨑 𥔎
嵝	嶁
嵠	谿
嵨	隖
嵩	崇 崧
嵯	嵳
嵳	嵯
嵷	𰎌
嵸	𡵝
嵼	𡶴
嵽	𫶇
嵾	㟥
嶁	嵝
嶃	磛
嶄	崭 巉
嶇	㠊 岖
嶈	𡺃
嶋	島
嶌	島
嶎	蔚
嶔	崟 嵚
嶗	崂
嶘	𡺄
嶝	磴
嶠	峤
嶢	峣
嶤	𰎔
嶧	峄
嶨	峃
嶩	旳 𰎞
嶪	𰎑
嶮	崄
嶳	地
嶴	岙
嶸	嵘
嶹	𫝵
嶺	岭 阾 嶺
嶻	巀
嶼	屿
嶽	岳 𡴳 𡶓 𡶳 𰎫
巀	嶻
巃	𰎎
巅	巔
巆	𫶕
巇	𡾟
巉	嶄 𡽡
巊	𪩎
巋	岿
巌	巖
巍	魏
巏	𡺹
巑	㠝 𰏁
巒	峦
巔	巅 巓
巖	岩 巌 𰎠
巗	𪨷
巘	𪩘
巚	𰎹
巛	坤 川
巜	澮
川	巛
州	𠃕 𠄓 𠛏 𣧓
巠	𡿱 𢀖
巡	廵 順
巢	巣
巣	巢
巤	剌 鬣 𢀂
工	㣉 𠜝 𢀚
巧	丂 𢩨
巨	㠪 鉅 𠫕 𢀑
巩	鞏
巫	𢀣 𢍮
差	嗟 𢀩
巯	巰
巰	巯
己	𢀒
巴	笆
巵	卮
巹	卺
巺	巽
巻	卷 捲
巽	巺 𢁅
帀	匝 迊
币	幣
布	㱛 佈
帅	帥
帆	㠶 拚 颿 𩗋
师	師
帋	紙
希	稀 𠬹
帏	幃
帐	帳
帒	袋
帘	簾
帙	袠
帚	箒 菷
帜	幟
帝	𠫦 𢂇
帡	帲
帥	䢦 帅
带	帶
帧	幀
師	师 𠦵 𠵀 𢂖 𩇱
帬	裙
席	蓆 𠩛 𥔆
帮	幇 幫
帯	帶
帰	歸
帱	幬
帲	帡
帳	帐 賬
帴	𰏕
帶	带 帯
帷	𠥎
帻	幘
帼	幗
幀	帧
幂	冪 鼏
幃	帏 𠥎
幇	帮 幫
幑	㫎
幓	㡎
幔	㡢
幕	幙
幗	帼
幘	帻
幙	幕
幚	幫
幝	𪩷
幞	襮
幟	帜 旘
幠	𭘓
幡	旛
幢	橦
幣	币
幤	幣
幩	𪩸
幫	帮 幇
幬	帱
幰	𫷉
幱	襴 𰏟
干	乾 幹
平	𠀭 𤔁
年	年 𠫺
幵	开
并	並 併 幷 竝
幷	並 并 竝
幸	㚔 倖 囟 𠂷
幹	干
幺	么
幻	㕕
幼	𠣎
幽	凼
幾	几 𢆻 𢆼
广	廣
庁	廳
広	廣
庄	莊
庅	麼 麽
庆	慶
床	牀
庐	廬
庑	廡
库	庫
应	應
店	坫
庙	廟
庞	龐
废	廢
度	㡯 廓 𡧪
座	坐
庫	库
庬	厖
庲	𫷬
庵	菴
庶	庻 𠦜 𠩽 𠪌 𠪛 𤈲
康	𠭳
庸	㐯 𠆌
庺	松
庻	庶
庼	廎
庽	寓
庾	斞
庿	廟
廀	廋
廁	厕 厠
廂	厢
廃	廢
廄	厩 廐
廈	厦
廉	槏 磏 廉 𢉧 𢋯
廊	廊
廋	廀
廌	豸
廎	庼
廏	厩 廄 廐 𠤙
廐	厩 廄 廏
廑	厪
廓	廓 𢌓
廔	樓 𫷹
廕	荫 蔭 𫷮
廗	𰏼
廚	厨
廛	㙻
廝	㒋 厮
廞	𫷷
廟	庙 庿
廠	厂 厰
廡	庑
廢	废 廃
廣	广
廥	𰏶
廧	墻 牆 𢋾 𪪞
廩	廪 稟 𢈺
廪	廩 稟
廬	庐 廬 𡳬 𪪏
廮	𫷾
廰	廳
廱	雝
廳	厅 廰
廵	巡
廸	迪
廹	迫
廻	回 迴
廼	乃 迺
廽	回
廾	廿
廿	卄 廾
开	幵 開
弁	瓣 辨 辯
异	異
弃	棄
弄	挊 瘧 弄
弇	𢍔 𥤴 𥦦
弈	奕
弉	奘
弊	𡚁
弋	𢍺
弌	一 壹 搋
弍	二 貳
弎	三
弐	貳
弑	弒 𢨓
弒	弑
弔	吊
引	㧈 𢪉
弟	𠂖 𢦢
张	張
弡	張
弢	韜
弥	彌 瀰
弦	絃
弪	弳
弭	𢏱
弯	彎
弳	弪
張	张 弡
強	强 彊
弹	彈
强	強 彊
弼	㢸 𠡂 𠨒 𢏇 𢘍 𢼥
弾	彈
彀	够 夠
彂	發
彃	𪪼
彄	𫸩
彆	别
彈	弹 𢎝
彊	強 强
彌	弥 𢑀
彍	𭚦
彎	弯
彐	彑
彑	彐
归	歸
当	噹 當
彔	录
录	彔 錄 録
彗	篲
彙	彚 汇
彚	彙
彛	彝
彜	彝
彝	彛 彞 𢇏 𦇚 𧤋
彞	彝
彟	彠
彠	彟
彥	彦
彦	彥
彨	彲
彩	綵
彫	㓮 雕 鵰
彬	份 斌
彲	彨
彷	仿 徬 髣
彸	伀
役	𠈿
彻	徹
彿	佛 髴
往	徃 𢔎 𨓹
征	徰 徵
徂	𡲂 𡲡
徃	往
径	徑
徇	狥
很	狠
律	律
後	后 𢔏 𨒥
徑	俓 勁 径
徒	𠫠 𨑒
従	從
徕	徠
得	䙷 𢔨 𢔶
徙	𡕝 𡲴 𨗬
從	从 従
徠	來 倈 勑 徕
御	禦 馭 𢓷 𢕜
徤	健
徧	遍
徨	遑
復	复 覆 𠣸 𢕛
徬	彷
徭	傜
徰	征
徳	德
徴	徵
徵	征 𡈼 𢽠 𢽡 𢾷
德	悳 惪
徹	彻 澈 𢕹 𢖉 𦔞
徺	僥
徽	𢾰
徿	𪫌
心	㣺 忄
忄	㣺 心
忆	憶
忈	仁
忌	坖
忍	㣼
忎	仁
忏	懺
志	誌 𢖽 𢗍
応	應
忞	暋
忤	啎 迕
忧	㤑 憂
忭	昪
忰	悴
忱	𢗐 𢗑
念	唸 念
忻	欣
忼	慷
忾	愾
怀	懷
态	態
怂	慫
怃	憮
怄	慪
怅	悵
怆	愴
怌	懷
怐	𢗕
怒	怒 𢘂
怘	固
怜	憐
思	恖 𠂺 𡴓 𢍄
怣	尤
怨	𠨝 𢘈 𢘔 𢘖 𢛪
怩	𢘒
怪	恠
怱	匆 悤
怳	恍
怸	悉
总	總
怼	懟
怽	𢗿
怿	懌
恂	悛
恆	恒 𠄨 𢛢
恊	勰 協
恋	戀
恍	怳
恐	𢖶 𢙢
恒	恆
恕	㣽
恖	思
恠	怪
恡	吝 悋
恤	卹 賉
恥	耻
恩	摁
息	𧪩
恱	悅
恳	懇
恵	惠
恶	噁 惡
恸	慟
恹	懨
恺	愷
恻	惻
恼	惱
恽	惲
恿	慂
悁	懁
悅	恱 悦
悉	怸 𢚊 𢝕
悊	哲
悋	吝 恡 𢙵
悏	𫺂
悐	惕 𢙹
悓	𮲁
悔	𠧩
悚	𢥠 𢷜
悛	恂
悞	悮 誤
悟	𢛤
悠	滺
患	𢠶 𢡙 𢤒
悤	匆 怱
悦	悅
您	你 妳 祢 袮
悩	惱
悪	惡
悫	愨 慤
悬	懸
悭	慳
悮	悞
悯	憫
悳	德
悴	忰
悵	怅
悶	㥃 懣 闷
悽	凄 淒
惀	𰑄
惄	𧗂
情	啨 𢚏
惇	敦 𥫉
惉	𢛈
惊	驚
惌	宛
惎	𢗏
惒	和
惕	悐 惖
惖	惕
惛	惽
惝	𢠵
惟	𢛧
惠	① 僡 恵 𢞯 𢡘 𦻇
惡	亞 僫 恶 惡
惧	懼
惨	慘
惩	懲
惪	德
惫	憊
惬	愜
惭	慚
惮	憚
惯	慣
惰	𢞑 𢢠
惱	嬲 恼
惲	恽
惷	蠢
惺	醒 𢜫
惻	恻 𢝔
惽	惛
愆	𠍴 𠐨 𢡊
愇	𫹴
愈	愉 瘉 癒
愉	愈
愍	㥸 憫
愛	爱 𢛭 𢟪 𤔤
愜	惬
感	𢦡
愠	慍
愡	憁
愤	憤
愦	憒
愧	媿
愨	悫 慤
愩	𫺌
愬	訴
愳	懼
愴	怆
愷	恺
愸	整
愻	遜 𢙏
愼	㥲 昚 眘 𡴜
愽	博
愾	忾
愿	願
慁	㥵
慂	恿
慄	栗 慄
慈	㤵
態	态
慍	愠
慎	愼
慐	𰑟
慑	懾
慕	𢟽
慖	𮲇
慘	惨 𢡖
慙	慚 𰑧
慚	惭 慙
慞	傽
慟	恸
慣	惯
慤	悫 愨
慪	嘔 怄
慫	怂
慭	憖
慮	虑
慯	𫹽
慱	𰑁
慲	𰒆
慳	悭
慶	庆 𢙎 𢞢
慷	忼
慸	蔕 𰑵
慹	𰑔
慺	㥪 𢡌
慼	慽 戚
慽	慼
慾	欲
慿	憑
